"id","age","relative_hp_dist","rt","block_num"
15,"adult","lp_2",942.684174,1
15,"adult","absent",741.849661,1
15,"adult","absent",684.206963,1
15,"adult","absent",543.115854,1
15,"adult","absent",479.161024,1
15,"adult","absent",521.200418,1
15,"adult","absent",521.796703,1
15,"adult","lp_2",530.724049,1
15,"adult","absent",1205.644608,1
15,"adult","high_prob",793.169022,1
15,"adult","high_prob",1147.444963,1
15,"adult","absent",1015.401125,1
15,"adult","absent",621.322155,1
15,"adult","high_prob",940.264702,1
15,"adult","absent",854.432821,1
15,"adult","absent",1167.266846,1
15,"adult","absent",628.207922,1
15,"adult","lp_2",883.021593,1
15,"adult","absent",1193.187714,1
15,"adult","high_prob",1916.904926,1
15,"adult","absent",1418.539762,1
15,"adult","high_prob",1175.064087,1
15,"adult","high_prob",1296.364784,1
15,"adult","high_prob",1209.593296,1
15,"adult","absent",1000.74172,1
15,"adult","high_prob",935.441732,1
15,"adult","high_prob",727.863789,1
15,"adult","high_prob",1094.177961,1
15,"adult","absent",847.100735,1
15,"adult","absent",804.682255,1
15,"adult","absent",937.752724,1
15,"adult","high_prob",856.880665,1
15,"adult","high_prob",1554.023504,1
15,"adult","absent",891.635656,1
15,"adult","absent",834.297657,1
15,"adult","absent",1103.900909,1
15,"adult","absent",701.233149,1
15,"adult","lp_1",923.793316,1
15,"adult","high_prob",1830.87182,1
15,"adult","high_prob",1000.777721,1
15,"adult","lp_2",1158.635378,1
15,"adult","high_prob",829.428673,1
15,"adult","absent",763.558626,1
15,"adult","high_prob",764.532804,1
15,"adult","lp_1",922.56403,1
15,"adult","lp_3",1077.264786,1
15,"adult","absent",863.461018,1
15,"adult","absent",604.298353,1
15,"adult","absent",841.902733,1
15,"adult","lp_1",954.501629,1
15,"adult","high_prob",847.476006,1
15,"adult","absent",674.736977,1
15,"adult","high_prob",678.852081,1
15,"adult","absent",699.489355,1
15,"adult","lp_3",596.642733,1
15,"adult","absent",1120.329857,2
15,"adult","high_prob",1336.930037,2
15,"adult","lp_3",1071.374893,2
15,"adult","absent",922.3423,2
15,"adult","absent",626.361132,2
15,"adult","lp_1",1012.657881,2
15,"adult","high_prob",1499.878883,2
15,"adult","absent",567.106247,2
15,"adult","lp_1",843.21785,2
15,"adult","absent",1031.1234,2
15,"adult","absent",1177.699327,2
15,"adult","absent",711.822033,2
